=== STARTING VISUALIZER ===
Frame 6840 | Cart X: -0.04 | Theta: 0.00
Frame 6900 | Cart X: 0.03 | Theta: -0.04
Frame 6960 | Cart X: -0.03 | Theta: 0.03
Frame 7020 | Cart X: -0.10 | Theta: 0.15
Frame 7080 | Cart X: 0.01 | Theta: -0.01
Frame 7140 | Cart X: -0.11 | Theta: 0.13
Frame 7200 | Cart X: -0.08 | Theta: 0.14
Frame 7260 | Cart X: -0.02 | Theta: 0.04
Frame 7320 | Cart X: -0.03 | Theta: -0.03
Frame 7380 | Cart X: -0.06 | Theta: 0.13
Frame 7440 | Cart X: 0.05 | Theta: -0.03
Frame 7500 | Cart X: -0.07 | Theta: 0.02
Frame 7560 | Cart X: -0.01 | Theta: 0.11
Frame 7620 | Cart X: -0.08 | Theta: 0.12
Frame 7680 | Cart X: -0.01 | Theta: 0.00
Frame 7740 | Cart X: -0.11 | Theta: 0.13
Frame 7800 | Cart X: 0.03 | Theta: 0.05
Frame 7860 | Cart X: -0.02 | Theta: 0.06
Frame 7920 | Cart X: -0.06 | Theta: 0.16
Frame 7980 | Cart X: -0.03 | Theta: 0.04
Frame 8040 | Cart X: -0.00 | Theta: 0.05
Frame 8100 | Cart X: -0.03 | Theta: 0.04
Frame 8160 | Cart X: 0.00 | Theta: -0.02
Frame 8220 | Cart X: -0.00 | Theta: 0.03
Frame 8280 | Cart X: -0.06 | Theta: 0.13
Frame 8340 | Cart X: -0.05 | Theta: 0.05
Frame 8400 | Cart X: -0.11 | Theta: 0.12
Frame 8460 | Cart X: -0.01 | Theta: 0.01
Frame 8520 | Cart X: -0.08 | Theta: 0.16
Frame 8580 | Cart X: -0.02 | Theta: 0.05
Frame 8640 | Cart X: -0.06 | Theta: 0.03
Frame 8700 | Cart X: -0.06 | Theta: 0.07
Frame 8760 | Cart X: -0.03 | Theta: 0.02
Frame 8820 | Cart X: -0.11 | Theta: 0.18
Frame 8880 | Cart X: 0.01 | Theta: 0.06
Frame 8940 | Cart X: -0.03 | Theta: 0.07
Frame 9000 | Cart X: -0.05 | Theta: 0.17
Frame 9060 | Cart X: 0.01 | Theta: 0.03
Frame 9120 | Cart X: -0.04 | Theta: -0.01
Frame 9180 | Cart X: -0.13 | Theta: 0.19
Frame 9240 | Cart X: -0.06 | Theta: 0.18
Frame 9300 | Cart X: -0.06 | Theta: 0.10
Frame 9360 | Cart X: -0.06 | Theta: 0.08
Frame 9420 | Cart X: -0.14 | Theta: 0.15
Frame 9480 | Cart X: -0.02 | Theta: 0.02
Frame 9540 | Cart X: 0.01 | Theta: 0.05
Frame 9600 | Cart X: -0.06 | Theta: 0.10
Frame 9660 | Cart X: -0.06 | Theta: -0.00
Frame 9720 | Cart X: -0.01 | Theta: 0.12
Frame 9780 | Cart X: 0.04 | Theta: 0.03
Frame 9840 | Cart X: -0.02 | Theta: 0.04
Frame 9900 | Cart X: -0.08 | Theta: 0.10
Frame 9960 | Cart X: -0.04 | Theta: 0.01
Frame 10020 | Cart X: -0.12 | Theta: 0.15
Frame 10080 | Cart X: -0.04 | Theta: 0.05
Frame 10140 | Cart X: -0.03 | Theta: 0.02
Frame 10200 | Cart X: -0.07 | Theta: 0.08
Frame 10260 | Cart X: -0.12 | Theta: 0.15
Frame 10320 | Cart X: -0.01 | Theta: 0.01
Frame 10380 | Cart X: -0.04 | Theta: 0.19
Frame 10440 | Cart X: -0.04 | Theta: -0.01
Frame 10500 | Cart X: -0.07 | Theta: 0.03
Frame 10560 | Cart X: -0.04 | Theta: 0.03
Frame 10620 | Cart X: -0.03 | Theta: 0.02
Frame 10680 | Cart X: -0.07 | Theta: 0.07
Frame 10740 | Cart X: -0.03 | Theta: 0.01
Frame 10800 | Cart X: -0.12 | Theta: 0.13
Frame 10860 | Cart X: 0.02 | Theta: 0.04
Frame 10920 | Cart X: -0.09 | Theta: 0.19
Frame 10980 | Cart X: -0.08 | Theta: 0.04
Frame 11040 | Cart X: -0.08 | Theta: 0.19
Frame 11100 | Cart X: 0.02 | Theta: 0.04
Frame 11160 | Cart X: -0.07 | Theta: 0.19
Frame 11220 | Cart X: -0.04 | Theta: 0.01
Frame 11280 | Cart X: -0.01 | Theta: -0.03
Frame 11340 | Cart X: -0.04 | Theta: 0.07
Frame 11400 | Cart X: 0.01 | Theta: 0.01
Frame 11460 | Cart X: -0.07 | Theta: 0.14
Frame 11520 | Cart X: -0.02 | Theta: 0.11
Frame 11580 | Cart X: -0.05 | Theta: 0.01
Frame 11640 | Cart X: -0.09 | Theta: 0.17
Frame 11700 | Cart X: -0.05 | Theta: 0.09
Frame 11760 | Cart X: -0.02 | Theta: 0.02
Frame 11820 | Cart X: -0.12 | Theta: 0.19
Frame 11880 | Cart X: -0.09 | Theta: 0.09
Frame 11940 | Cart X: -0.04 | Theta: -0.04
Frame 12000 | Cart X: -0.02 | Theta: 0.03
Frame 12060 | Cart X: -0.16 | Theta: 0.16
Frame 12120 | Cart X: -0.08 | Theta: 0.13
Frame 12180 | Cart X: -0.00 | Theta: 0.04
Frame 12240 | Cart X: -0.07 | Theta: 0.01
Frame 12300 | Cart X: -0.07 | Theta: 0.18
Frame 12360 | Cart X: -0.04 | Theta: 0.01
Frame 12420 | Cart X: -0.10 | Theta: 0.11
Frame 12480 | Cart X: 0.00 | Theta: 0.06
Frame 12540 | Cart X: -0.06 | Theta: 0.05
Frame 12600 | Cart X: -0.08 | Theta: 0.06
Frame 12660 | Cart X: -0.12 | Theta: 0.09
Frame 12720 | Cart X: -0.12 | Theta: 0.19
Frame 12780 | Cart X: -0.02 | Theta: 0.08
Frame 12840 | Cart X: -0.11 | Theta: 0.10
Frame 12900 | Cart X: -0.01 | Theta: -0.02
Frame 12960 | Cart X: -0.05 | Theta: 0.07
Frame 13020 | Cart X: -0.07 | Theta: 0.16
Frame 13080 | Cart X: 0.03 | Theta: 0.06
Frame 13140 | Cart X: -0.02 | Theta: 0.04
Frame 13200 | Cart X: 0.02 | Theta: 0.05
Frame 13260 | Cart X: -0.15 | Theta: 0.20
Frame 13320 | Cart X: 0.01 | Theta: -0.00
Frame 13380 | Cart X: -0.04 | Theta: 0.04
Frame 13440 | Cart X: -0.14 | Theta: 0.10
Frame 13500 | Cart X: -0.12 | Theta: 0.21
Frame 13560 | Cart X: -0.05 | Theta: 0.01
Frame 13620 | Cart X: -0.10 | Theta: 0.18
Frame 13680 | Cart X: -0.08 | Theta: 0.07
Frame 13740 | Cart X: -0.02 | Theta: 0.09
Frame 13800 | Cart X: 0.05 | Theta: 0.01
Frame 13860 | Cart X: 0.01 | Theta: 0.08
Frame 13920 | Cart X: 0.01 | Theta: -0.02
Frame 13980 | Cart X: -0.07 | Theta: 0.01
Frame 14040 | Cart X: -0.05 | Theta: 0.05
Frame 14100 | Cart X: -0.04 | Theta: 0.09
Frame 14160 | Cart X: -0.05 | Theta: 0.07
Frame 14220 | Cart X: 0.02 | Theta: 0.01
Frame 14280 | Cart X: -0.02 | Theta: -0.01
Frame 14340 | Cart X: -0.08 | Theta: 0.13
Frame 14400 | Cart X: -0.09 | Theta: 0.12
Frame 14460 | Cart X: 0.04 | Theta: 0.03
Frame 14520 | Cart X: -0.07 | Theta: 0.03
Frame 14580 | Cart X: -0.11 | Theta: 0.19
Frame 14640 | Cart X: -0.01 | Theta: -0.04
Frame 14700 | Cart X: -0.09 | Theta: 0.18
Frame 14760 | Cart X: 0.04 | Theta: -0.04
